,duration,srcIp,srcPort,dstIp,dstPort,service,srcBytes,dstBytes,flag,land,urgent,ja3,ja3Ver,ja3Cipher,ja3Extension,ja3Ec,ja3Ecpf,blacklisted
0,1.589091000,10.0.2.200,49162,108.160.172.204,443,6,1783,5671,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
1,0.094517000,10.0.2.200,49163,216.58.209.174,443,6,1127,4702,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
2,0.079149000,10.0.2.200,49164,188.121.36.239,80,6,639,2549,0,0,0,0,0,[],[],[],[],0
3,0.079071000,10.0.2.200,49165,188.121.36.239,80,6,645,2594,0,0,0,0,0,[],[],[],[],0
4,7.562009000,10.0.2.200,49166,216.58.208.46,443,6,2875,8426,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
5,4.860596000,10.0.2.200,49167,216.58.214.238,80,6,617,1466,1,0,0,0,0,[],[],[],[],0
6,4.742760000,10.0.2.200,49168,195.113.214.206,80,6,12629,1032095,1,0,0,0,0,[],[],[],[],0
7,0.140343000,10.0.2.200,49169,216.58.208.46,443,6,2415,5497,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
8,120.340110000,10.0.2.200,49170,195.113.232.90,80,6,2157,4660,1,0,0,0,0,[],[],[],[],0
9,0.079095000,10.0.2.200,49171,188.121.36.239,80,6,639,2549,0,0,0,0,0,[],[],[],[],0
10,0.079367000,10.0.2.200,49172,188.121.36.239,80,6,645,2594,0,0,0,0,0,[],[],[],[],0
11,86.818886000,10.0.2.200,49173,23.42.27.27,80,6,1499,6502,0,0,0,0,0,[],[],[],[],0
12,86.696255000,10.0.2.200,49174,23.42.27.27,80,6,654,2444,0,0,0,0,0,[],[],[],[],0
13,15.289487000,10.0.2.200,49175,23.42.27.27,80,6,657,2408,0,0,0,0,0,[],[],[],[],0
14,119.648485000,10.0.2.200,49176,23.42.27.27,80,6,597,2197,1,0,0,0,0,[],[],[],[],0
15,42.958855000,10.0.2.200,49177,23.42.27.27,80,6,653,2444,0,0,0,0,0,[],[],[],[],0
16,86.261651000,10.0.2.200,49178,23.42.27.27,80,6,648,2444,0,0,0,0,0,[],[],[],[],0
17,15.629248000,10.0.2.200,49179,93.184.220.29,80,6,1082,1958,0,0,0,0,0,[],[],[],[],0
18,61.226888000,10.0.2.200,49180,23.62.237.89,80,6,1233,52219,0,0,0,0,0,[],[],[],[],0
19,4.040355000,10.0.2.200,49181,94.31.29.96,80,6,596,2187,0,0,0,0,0,[],[],[],[],0
20,0.193550000,10.0.2.200,49182,216.58.208.46,443,6,1727,5322,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
21,4.039849000,10.0.2.200,49183,94.31.29.96,80,6,607,2264,0,0,0,0,0,[],[],[],[],0
22,0.745927000,10.0.2.200,49184,108.160.172.236,443,6,1078,5249,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
23,3911.414118000,10.0.2.200,49185,108.160.172.204,443,6,1712,9580,2,0,0,653d342bee5001569662198a672746af,769,49172-49171-49169-57-51-53-47-255-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-11-10-35-15-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-25-28-27-24-26,0-1,0
24,692.622679000,10.0.2.200,49186,108.160.172.225,443,6,3233,5823,1,0,0,653d342bee5001569662198a672746af,769,49172-49171-49169-57-51-53-47-255-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-11-10-35-15-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-25-28-27-24-26,0-1,0
25,3903.304397000,10.0.2.200,49187,108.160.172.204,443,6,1187,5765,2,0,0,653d342bee5001569662198a672746af,769,49172-49171-49169-57-51-53-47-255-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-11-10-35-15-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-25-28-27-24-26,0-1,0
26,3900.744923000,10.0.2.200,49188,108.160.172.225,443,6,1691,5733,2,0,0,653d342bee5001569662198a672746af,769,49172-49171-49169-57-51-53-47-255-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-11-10-35-15-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-25-28-27-24-26,0-1,0
27,0.448492000,10.0.2.200,49189,216.58.209.174,443,6,1181,4702,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
28,122.575823000,10.0.2.200,49190,216.58.208.46,443,6,2827,7595,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
29,240.050316000,10.0.2.200,49191,216.58.214.238,80,6,733,1806,1,0,0,0,0,[],[],[],[],0
30,33.202958000,10.0.2.200,49192,195.113.214.204,80,6,105355,12759529,0,0,0,0,0,[],[],[],[],0
31,0.102773000,10.0.2.200,49193,216.58.208.46,443,6,2565,5434,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
32,119.932898000,10.0.2.200,49194,23.63.82.10,443,6,3119,44802,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
33,297.245025000,10.0.2.200,49195,195.113.232.91,80,6,435984,48606244,1,0,0,0,0,[],[],[],[],0
34,3207.321985000,10.0.2.200,49196,108.160.172.193,443,6,1931,5749,2,0,0,653d342bee5001569662198a672746af,769,49172-49171-49169-57-51-53-47-255-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-11-10-35-15-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-25-28-27-24-26,0-1,0
35,0.083299000,10.0.2.200,49197,13.107.3.128,443,6,327,220,0,0,0,f1e0cd88157845abf9e792b257e2cc11,768,5-10-19-4-65664-458944-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0,0-0,0
36,0.032243000,10.0.2.200,49198,13.107.3.128,443,6,327,220,0,0,0,f1e0cd88157845abf9e792b257e2cc11,768,5-10-19-4-65664-458944-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0,0-0,0
37,0.043546000,10.0.2.200,49199,13.107.3.128,443,6,327,220,0,0,0,f1e0cd88157845abf9e792b257e2cc11,768,5-10-19-4-65664-458944-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0,0-0,0
