,duration,srcIp,srcPort,dstIp,dstPort,service,srcBytes,dstBytes,flag,land,urgent,ja3,ja3Ver,ja3Cipher,ja3Extension,ja3Ec,ja3Ecpf,blacklisted
0,0.058334000,10.0.0.45,49161,23.62.237.87,80,6,379,461,0,0,0,0,0,[],[],[],[],0
1,236.986418000,10.0.0.45,49166,23.214.152.95,443,6,1769,15581,2,0,0,f1e0cd88157845abf9e792b257e2cc11,768,5-10-19-4-65664-458944-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0,0-0,0
2,286.976242000,10.0.0.45,49167,23.214.152.95,443,6,1877,15797,2,0,0,f1e0cd88157845abf9e792b257e2cc11,768,5-10-19-4-65664-458944-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0,0-0,0
3,0.071888000,10.0.0.45,49168,23.62.237.94,80,6,508,447,0,0,0,0,0,[],[],[],[],0
4,2.672036000,10.0.0.45,49169,23.214.152.95,443,6,1297,12519,1,0,0,a61299f9b501adcf680b9275d79d4ac6,771,49187-49191-60-49189-49193-103-64-49161-49171-47-49156-49166-51-50-49195-49199-156-49197-49201-158-162-49160-49170-10-49155-49165-22-19-49159-49169-5-49154-49164-4-255-0,10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-1-3-19-21-6,0-0,1
5,1.560646000,10.0.0.45,49170,23.57.107.27,80,6,623,2000,1,0,0,0,0,[],[],[],[],0
6,1.231851000,10.0.0.45,49171,23.57.107.27,80,6,629,1972,1,0,0,0,0,[],[],[],[],0
7,0.430885000,10.0.0.45,49172,23.57.107.27,80,6,1098,4369,1,0,0,0,0,[],[],[],[],0
8,0.131122000,10.0.0.45,49173,23.57.107.27,80,6,631,2361,1,0,0,0,0,[],[],[],[],0
9,0.014295000,10.0.0.45,49174,10.0.0.138,5431,6,568,3668,0,0,0,0,0,[],[],[],[],0
