,duration,srcIp,srcPort,dstIp,dstPort,service,srcBytes,dstBytes,flag,land,urgent,ja3,ja3Ver,ja3Cipher,ja3Extension,ja3Ec,ja3Ecpf,blacklisted
0,1.465480000,10.0.2.200,49162,108.160.172.236,443,6,1783,5671,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
1,0.105013000,10.0.2.200,49163,216.58.209.174,443,6,1127,4702,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
2,0.079590000,10.0.2.200,49164,188.121.36.239,80,6,639,2549,0,0,0,0,0,[],[],[],[],0
3,0.079588000,10.0.2.200,49165,188.121.36.239,80,6,645,2594,0,0,0,0,0,[],[],[],[],0
4,7.154779000,10.0.2.200,49166,216.58.208.46,443,6,2875,8427,1,0,0,9a35e493f961ac377f948690b5334a9c,769,47-53-5-10-49171-49172-49161-49162-50-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-10-11-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,0
5,4.408974000,10.0.2.200,49167,216.58.214.238,80,6,617,1466,1,0,0,0,0,[],[],[],[],0
6,4.277376000,10.0.2.200,49168,195.113.214.206,80,6,10037,1030421,1,0,0,0,0,[],[],[],[],0
7,119.003400000,10.0.2.200,49169,195.113.232.75,80,6,2157,4660,1,0,0,0,0,[],[],[],[],0
8,0.079563000,10.0.2.200,49170,188.121.36.239,80,6,639,2549,0,0,0,0,0,[],[],[],[],0
9,0.079801000,10.0.2.200,49171,188.121.36.239,80,6,645,2594,0,0,0,0,0,[],[],[],[],0
